,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
0,0.9589036708166486,0.8125,0.875,0.75,0.734375,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-15
1,0.9685611034542169,0.8125,0.875,0.75,0.734375,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-16
2,0.9975855968168444,0.75,0.75,0.75,0.734375,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-17
3,0.9023007947566237,0.875,1.0,0.75,0.78125,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-18
4,0.9589131315526974,0.8125,0.875,0.75,0.75,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-19
5,0.9975855968168444,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-20
6,0.9975855968168444,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-21
7,0.9685611034542166,0.875,1.0,0.75,0.75,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-22
8,0.9761058318776955,0.8125,0.875,0.75,0.75,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-23
9,0.9686836345037205,0.75,1.0,0.5,0.640625,AdaboostWithDecisionTree_maxDepth-1_minSamplesSplit-24
10,0.9999999999999998,0.625,0.625,0.625,0.625,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-15
11,1.9999999999999998,0.5,0.0,1.0,0.4375,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-16
12,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-17
13,0.9999999999999998,0.625,0.625,0.625,0.625,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-18
14,1.9999999999999998,0.5,0.0,1.0,0.3125,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-19
15,0.9999999999999998,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-20
16,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-21
17,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-22
18,0.9999999999999998,0.5625,0.5,0.625,0.5625,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-23
19,0.9999999931628782,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-2_minSamplesSplit-24
20,0.9999999999999998,0.625,0.625,0.625,0.625,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-15
21,0.9999999999999998,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-16
22,1.9999999999999998,0.5,0.0,1.0,0.3125,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-17
23,0.9999999999999998,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-18
24,0.9999999999999998,0.5625,0.5,0.625,0.5625,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-19
25,1.9999999999999998,0.5,0.0,1.0,0.3125,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-20
26,0.9999999999999998,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-21
27,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-22
28,1.9999999999999998,0.5,0.0,1.0,0.3125,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-23
29,0.9999999931628782,0.75,0.75,0.75,0.78125,AdaboostWithDecisionTree_maxDepth-3_minSamplesSplit-24
30,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-15
31,0.9999999999999998,0.625,0.625,0.625,0.625,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-16
32,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-17
33,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-18
34,0.9999999999999998,0.5625,0.5,0.625,0.5625,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-19
35,0.9999999999999998,0.75,0.75,0.75,0.75,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-20
36,1.9999999999999998,0.5,0.0,1.0,0.4375,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-21
37,0.9999999999999998,0.5625,0.5,0.625,0.5625,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-22
38,0.9999999999999998,0.6875,0.875,0.5,0.6875,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-23
39,0.9999999931628782,0.75,0.75,0.75,0.7890625,AdaboostWithDecisionTree_maxDepth-4_minSamplesSplit-24
