,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
0,1.0,0.75,0.75,0.75,0.75,KNN_K-1
1,1.0,0.8125,0.625,1.0,0.8203125,KNN_K-2
2,0.6666666666666666,0.875,0.875,0.875,0.921875,KNN_K-3
3,0.75,0.8125,0.75,0.875,0.859375,KNN_K-4
4,0.6,0.8125,0.75,0.875,0.859375,KNN_K-5
5,0.6666666666666666,0.8125,0.75,0.875,0.8515625,KNN_K-6
6,0.5714285714285714,0.875,0.875,0.875,0.8515625,KNN_K-7
7,0.5,0.8125,0.875,0.75,0.90625,KNN_K-8
8,0.6666666666666666,0.75,0.5,1.0,0.8671875,KNN_K-9
9,0.6,0.8125,0.625,1.0,0.9140625,KNN_K-10
10,0.5454545454545454,0.8125,0.625,1.0,0.890625,KNN_K-11
11,0.5833333333333334,0.8125,0.625,1.0,0.8828125,KNN_K-12
12,0.46153846153846156,0.875,0.75,1.0,0.90625,KNN_K-13
13,0.5,0.875,0.75,1.0,0.96875,KNN_K-14
14,0.5333333333333333,0.875,0.75,1.0,0.9375,KNN_K-15
15,0.5,0.875,0.875,0.875,0.90625,KNN_K-16
16,0.47058823529411764,0.875,0.875,0.875,0.9453125,KNN_K-17
17,0.5,0.875,0.875,0.875,0.921875,KNN_K-18
18,0.47368421052631576,0.875,0.875,0.875,0.953125,KNN_K-19
19,0.45,0.9375,1.0,0.875,0.984375,KNN_K-20
20,0.47619047619047616,0.9375,0.875,1.0,0.9609375,KNN_K-21
21,0.5,0.9375,0.875,1.0,0.9609375,KNN_K-22
22,0.4782608695652174,0.875,0.875,0.875,0.9375,KNN_K-23
23,0.5,0.875,0.75,1.0,0.859375,KNN_K-24
24,0.48,0.875,0.75,1.0,0.890625,KNN_K-25
25,0.5,0.8125,0.625,1.0,0.8046875,KNN_K-26
26,0.48148148148148145,0.8125,0.75,0.875,0.84375,KNN_K-27
27,0.5,0.875,0.75,1.0,0.890625,KNN_K-28
28,0.5517241379310345,0.6875,0.375,1.0,0.7265625,KNN_K-29
29,0.5,0.8125,1.0,0.625,0.8828125,KNN_K-30
30,0.5161290322580645,0.8125,0.75,0.875,0.8828125,KNN_K-31
31,0.5,0.875,1.0,0.75,0.921875,KNN_K-32
32,0.5151515151515151,0.8125,0.625,1.0,0.8125,KNN_K-33
33,0.5294117647058824,0.8125,0.625,1.0,0.8125,KNN_K-34
34,0.5428571428571428,0.8125,0.625,1.0,0.8125,KNN_K-35
35,1.5277777777777777,0.5,0.0,1.0,0.5,KNN_K-36
