,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
0,1.5,0.5,0.0,1.0,0.5,Logit_L1_C-0.01
1,0.5191660541237636,0.875,0.875,0.875,0.921875,Logit_L1_C-0.1
2,0.40141591447279723,0.875,1.0,0.75,0.84375,Logit_L1_C-1.0
3,0.5982700707959747,0.9375,1.0,0.875,0.921875,Logit_L1_C-10.0
4,0.6968230049721812,0.9375,1.0,0.875,0.96875,Logit_L1_C-100.0
5,0.8203412396796929,0.9375,0.875,1.0,0.984375,Logit_L1_C-1000.0
6,0.6861371912015509,0.9375,0.875,1.0,0.96875,Logit_L1_C-10000.0
7,0.7302129972252835,0.875,0.75,1.0,0.9375,Logit_L1_C-100000.0
8,0.7199141368854687,0.9375,0.875,1.0,0.96875,Logit_L1_C-1000000.0
9,0.6974380896710359,0.9375,0.875,1.0,0.96875,Logit_L1_C-10000000.0
10,0.6942391833095005,0.9375,0.875,1.0,0.96875,Logit_L1_C-100000000.0
11,0.6939819043846446,0.9375,0.875,1.0,0.96875,Logit_L1_C-1000000000.0
12,0.6939527692168601,0.9375,0.875,1.0,0.96875,Logit_L1_C-10000000000.0
