,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
0,0.6,0.8125,0.75,0.875,0.8359375,RF_treeNum-10
1,0.55,0.8125,0.875,0.75,0.84375,RF_treeNum-20
2,0.5333333333333333,0.8125,0.875,0.75,0.8984375,RF_treeNum-30
3,0.65,0.8125,0.75,0.875,0.84375,RF_treeNum-40
4,0.66,0.8125,0.75,0.875,0.8203125,RF_treeNum-50
5,0.6333333333333333,0.8125,0.75,0.875,0.8515625,RF_treeNum-60
6,0.7,0.75,0.5,1.0,0.84375,RF_treeNum-70
7,0.5375,0.8125,0.875,0.75,0.8515625,RF_treeNum-80
8,0.5555555555555556,0.8125,0.875,0.75,0.84375,RF_treeNum-90
9,0.55,0.8125,0.875,0.75,0.859375,RF_treeNum-100
10,0.5636363636363636,0.8125,0.875,0.75,0.859375,RF_treeNum-110
11,0.5666666666666667,0.8125,0.875,0.75,0.875,RF_treeNum-120
12,0.5923076923076923,0.8125,0.75,0.875,0.890625,RF_treeNum-130
13,0.6,0.8125,0.75,0.875,0.890625,RF_treeNum-140
14,0.6,0.8125,0.75,0.875,0.8828125,RF_treeNum-150
15,0.60625,0.8125,0.75,0.875,0.890625,RF_treeNum-160
16,0.5882352941176471,0.8125,0.75,0.875,0.890625,RF_treeNum-170
17,0.5888888888888889,0.8125,0.75,0.875,0.890625,RF_treeNum-180
18,0.5894736842105263,0.8125,0.75,0.875,0.890625,RF_treeNum-190
19,0.585,0.8125,0.75,0.875,0.890625,RF_treeNum-200
20,0.5904761904761905,0.8125,0.75,0.875,0.890625,RF_treeNum-210
21,0.5045454545454545,0.875,1.0,0.75,0.921875,RF_treeNum-220
22,0.508695652173913,0.875,1.0,0.75,0.9140625,RF_treeNum-230
23,0.5,0.875,1.0,0.75,0.90625,RF_treeNum-240
24,0.504,0.875,1.0,0.75,0.921875,RF_treeNum-250
25,0.5038461538461538,0.875,1.0,0.75,0.921875,RF_treeNum-260
26,0.6185185185185185,0.8125,0.625,1.0,0.90625,RF_treeNum-270
27,0.6178571428571429,0.8125,0.625,1.0,0.921875,RF_treeNum-280
28,0.6137931034482759,0.8125,0.625,1.0,0.9140625,RF_treeNum-290
29,0.6033333333333334,0.8125,0.75,0.875,0.890625,RF_treeNum-300
30,0.6161290322580645,0.8125,0.625,1.0,0.8984375,RF_treeNum-310
31,0.61875,0.8125,0.625,1.0,0.890625,RF_treeNum-320
32,0.6060606060606061,0.875,0.75,1.0,0.90625,RF_treeNum-330
33,0.6176470588235294,0.8125,0.625,1.0,0.8984375,RF_treeNum-340
34,0.6085714285714285,0.8125,0.625,1.0,0.890625,RF_treeNum-350
35,0.6138888888888889,0.8125,0.625,1.0,0.890625,RF_treeNum-360
36,0.5945945945945946,0.875,0.75,1.0,0.90625,RF_treeNum-370
37,0.6131578947368421,0.8125,0.625,1.0,0.890625,RF_treeNum-380
38,0.6102564102564103,0.8125,0.625,1.0,0.890625,RF_treeNum-390
39,0.605,0.8125,0.625,1.0,0.8984375,RF_treeNum-400
40,0.6073170731707317,0.8125,0.625,1.0,0.8984375,RF_treeNum-410
41,0.6047619047619047,0.8125,0.625,1.0,0.8984375,RF_treeNum-420
42,0.6023255813953489,0.875,0.75,1.0,0.90625,RF_treeNum-430
43,0.6045454545454545,0.8125,0.625,1.0,0.890625,RF_treeNum-440
44,0.5955555555555555,0.875,0.75,1.0,0.90625,RF_treeNum-450
45,0.6021739130434782,0.8125,0.625,1.0,0.9140625,RF_treeNum-460
46,0.5957446808510638,0.875,0.75,1.0,0.921875,RF_treeNum-470
47,0.5979166666666667,0.875,0.75,1.0,0.921875,RF_treeNum-480
48,0.6,0.8125,0.625,1.0,0.9140625,RF_treeNum-490
49,0.598,0.8125,0.75,0.875,0.890625,RF_treeNum-500
50,0.5980392156862745,0.875,0.75,1.0,0.921875,RF_treeNum-510
51,0.6,0.875,0.75,1.0,0.921875,RF_treeNum-520
52,0.5962264150943396,0.8125,0.75,0.875,0.8984375,RF_treeNum-530
53,0.5981481481481481,0.875,0.75,1.0,0.9140625,RF_treeNum-540
54,0.5981818181818181,0.875,0.75,1.0,0.921875,RF_treeNum-550
55,0.5964285714285714,0.875,0.75,1.0,0.921875,RF_treeNum-560
56,0.6,0.8125,0.625,1.0,0.90625,RF_treeNum-570
57,0.596551724137931,0.875,0.75,1.0,0.921875,RF_treeNum-580
58,0.5966101694915255,0.875,0.75,1.0,0.921875,RF_treeNum-590
59,0.5966666666666667,0.875,0.75,1.0,0.921875,RF_treeNum-600
60,0.5950819672131148,0.875,0.75,1.0,0.921875,RF_treeNum-610
61,0.5919354838709677,0.875,0.75,1.0,0.921875,RF_treeNum-620
62,0.5904761904761905,0.875,0.75,1.0,0.921875,RF_treeNum-630
