,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
0,1.3939127808247946,0.5,0.0,1.0,0.03125,SVM_C-0.01_Gamma-1e-09
1,1.4815816498105185,0.5,0.0,1.0,0.03125,SVM_C-0.01_Gamma-1e-08
2,1.3793868042413922,0.5,0.0,1.0,0.03125,SVM_C-0.01_Gamma-1e-07
3,1.4042921561523756,0.5,0.0,1.0,0.046875,SVM_C-0.01_Gamma-1e-06
4,1.382745664246572,0.5,0.0,1.0,0.046875,SVM_C-0.01_Gamma-1e-05
5,1.454645193586089,0.5,0.0,1.0,0.0625,SVM_C-0.01_Gamma-0.0001
6,1.4416088574277197,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-0.001
7,1.3945943786525037,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-0.01
8,1.3646209803963205,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-0.1
9,1.3402705182894044,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-1.0
10,1.4195174596399818,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-10.0
11,1.3583176386506413,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-100.0
12,1.3794174044695642,0.5,0.0,1.0,0.5,SVM_C-0.01_Gamma-1000.0
13,1.4415837001055913,0.5,0.0,1.0,0.03125,SVM_C-0.1_Gamma-1e-09
14,1.3531240668314997,0.5,0.0,1.0,0.03125,SVM_C-0.1_Gamma-1e-08
15,1.4247322241194418,0.5,0.0,1.0,0.046875,SVM_C-0.1_Gamma-1e-07
16,1.4427150774573174,0.5,0.0,1.0,0.03125,SVM_C-0.1_Gamma-1e-06
17,1.4059407268544362,0.5,0.0,1.0,0.046875,SVM_C-0.1_Gamma-1e-05
18,1.4427641574217511,0.5,0.0,1.0,0.0625,SVM_C-0.1_Gamma-0.0001
19,1.4817834190553782,0.5,0.0,1.0,0.5,SVM_C-0.1_Gamma-0.001
20,1.4265137243036947,0.5,0.0,1.0,0.5,SVM_C-0.1_Gamma-0.01
